Restaurant ID,Restaurant Name,City,Locality,Cuisines,Aggregate rating,Votes,Price range,Average Cost for two,Has Table booking,Has Online delivery,content_features
95361,Ifthar,Kochi,Edappally,Kerala,3.8,281,1,350,No,No,Kerala Kochi Edappally Price1 TableBooking_No Delivery_No
95421,Dhe Puttu,Kochi,Edappally,Kerala,4.4,662,2,600,No,Yes,Kerala Kochi Edappally Price2 TableBooking_No Delivery_Yes
95256,Kashi Art Cafe,Kochi,Fort Kochi,"European, Cafe",4.2,659,2,600,No,No,European  Cafe Kochi FortKochi Price2 TableBooking_No Delivery_No
95286,Grand Hotel Restaurant,Kochi,"Grand Hotel, MG Road","North Indian, Kerala, Chinese, Continental",4.2,394,3,1000,No,No,"North Indian  Kerala  Chinese  Continental Kochi GrandHotel,MGRoad Price3 TableBooking_No Delivery_No"
900969,Barbeque Nation,Kochi,Kacheripady,"European, North Indian, Mediterranean, American",4.5,213,3,1500,No,No,European  North Indian  Mediterranean  American Kochi Kacheripady Price3 TableBooking_No Delivery_No
95333,Chiyang,Kochi,Kacheripady,"Chinese, Continental",3.7,277,2,800,No,No,Chinese  Continental Kochi Kacheripady Price2 TableBooking_No Delivery_No
900547,Slice of Spice,Kochi,Kacheripady,"Fast Food, Biryani",4.0,246,1,400,No,Yes,Fast Food  Biryani Kochi Kacheripady Price1 TableBooking_No Delivery_Yes
901089,Mustake Multicuisine Restaurant,Kochi,Kakkanad,"Chinese, Thai, North Indian, South Indian",3.7,145,3,1000,No,Yes,Chinese  Thai  North Indian  South Indian Kochi Kakkanad Price3 TableBooking_No Delivery_Yes
901035,Palaaram,Kochi,Kakkanad,"Kerala, Fast Food",3.7,105,2,550,No,No,Kerala  Fast Food Kochi Kakkanad Price2 TableBooking_No Delivery_No
900561,Tonico Cafe,Kochi,Kakkanad,Cafe,4.0,406,1,400,No,No,Cafe Kochi Kakkanad Price1 TableBooking_No Delivery_No
900524,Cafe 17,Kochi,Kaloor,"Cafe, Continental, Italian",4.4,333,2,700,No,Yes,Cafe  Continental  Italian Kochi Kaloor Price2 TableBooking_No Delivery_Yes
900800,ChaiCofi,Kochi,Kaloor,"Cafe, Continental, Italian",4.0,160,2,800,No,No,Cafe  Continental  Italian Kochi Kaloor Price2 TableBooking_No Delivery_No
95304,Bloomsbury's Boutique Cafe and Artisan Bakery,Kochi,"LuLu Mall, Edappally","Cafe, Bakery, Desserts",4.2,482,2,650,No,Yes,"Cafe  Bakery  Desserts Kochi LuLuMall,Edappally Price2 TableBooking_No Delivery_Yes"
900533,Paragon,Kochi,"LuLu Mall, Edappally","Kerala, South Indian, Continental, North Indian, Seafood, Chinese",4.3,722,2,900,No,No,"Kerala  South Indian  Continental  North Indian  Seafood  Chinese Kochi LuLuMall,Edappally Price2 TableBooking_No Delivery_No"
901004,Aangan - Downtown Multicuisine Restaurant,Kochi,Palarivattom,"Chinese, Seafood, North Indian, Biryani",4.2,146,2,650,No,No,Chinese  Seafood  North Indian  Biryani Kochi Palarivattom Price2 TableBooking_No Delivery_No
900111,Ali Baba & 41 Dishes,Kochi,Panampilly Nagar,"Kerala, South Indian, Chinese, Biryani",3.5,348,1,400,No,No,Kerala  South Indian  Chinese  Biryani Kochi PanampillyNagar Price1 TableBooking_No Delivery_No
95331,Cocoa Tree,Kochi,Panampilly Nagar,"Italian, Seafood, Mediterranean, Desserts, Cafe",4.3,658,3,1000,No,No,Italian  Seafood  Mediterranean  Desserts  Cafe Kochi PanampillyNagar Price3 TableBooking_No Delivery_No
900032,French Toast,Kochi,Panampilly Nagar,"Continental, Cafe, Desserts, Bakery",4.3,312,2,700,No,No,Continental  Cafe  Desserts  Bakery Kochi PanampillyNagar Price2 TableBooking_No Delivery_No
900282,Thakkaaram,Kochi,Vyttila,"Kerala, South Indian",3.6,361,2,600,No,No,Kerala  South Indian Kochi Vyttila Price2 TableBooking_No Delivery_No
18217475,Asia Kitchen by Mainland China,Kolkata,"Acropolis Mall, Kasba","Asian, Chinese",4.6,945,3,1400,No,Yes,"Asian  Chinese Kolkata AcropolisMall,Kasba Price3 TableBooking_No Delivery_Yes"
18249144,Hoppipola,Kolkata,"Acropolis Mall, Kasba","Italian, Mexican, American, Mediterranean",4.2,1103,3,1200,No,Yes,"Italian  Mexican  American  Mediterranean Kolkata AcropolisMall,Kasba Price3 TableBooking_No Delivery_Yes"
18017612,Spice Kraft,Kolkata,Ballygunge,"Continental, Middle Eastern, Asian",4.8,1424,3,1200,No,No,Continental  Middle Eastern  Asian Kolkata Ballygunge Price3 TableBooking_No Delivery_No
18377112,Nawwarah,Kolkata,Ballygunge,"Chinese, Cafe, North Indian, Desserts",3.9,326,3,1000,No,No,Chinese  Cafe  North Indian  Desserts Kolkata Ballygunge Price3 TableBooking_No Delivery_No
20002,6 Ballygunge Place,Kolkata,Ballygunge,Bengali,4.4,1778,3,1000,Yes,Yes,Bengali Kolkata Ballygunge Price3 TableBooking_Yes Delivery_Yes
18343731,Mumbai Local,Kolkata,Ballygunge,"North Indian, Chinese, Street Food",4.2,704,3,1200,Yes,No,North Indian  Chinese  Street Food Kolkata Ballygunge Price3 TableBooking_Yes Delivery_No
25664,Gabbar's Bar & Kitchen,Kolkata,Camac Street Area,"North Indian, Chinese, Mexican, Italian",4.4,1484,3,1400,Yes,No,North Indian  Chinese  Mexican  Italian Kolkata CamacStreetArea Price3 TableBooking_Yes Delivery_No
25587,TGI Friday's,Kolkata,Elgin,"Tex-Mex, American",4.0,911,3,1800,Yes,Yes,Tex-Mex  American Kolkata Elgin Price3 TableBooking_Yes Delivery_Yes
24530,Santa's Fantasea,Kolkata,Golpark,"Seafood, Chinese",4.2,2584,2,800,No,No,Seafood  Chinese Kolkata Golpark Price2 TableBooking_No Delivery_No
20747,India Restaurant,Kolkata,Kidderpore,"Biryani, North Indian, Chinese, Mughlai",4.6,1219,2,800,Yes,Yes,Biryani  North Indian  Chinese  Mughlai Kolkata Kidderpore Price2 TableBooking_Yes Delivery_Yes
21220,Flame & Grill,Kolkata,"Mani Square Mall, Kankurgachi","North Indian, Continental",3.9,1064,3,1500,Yes,No,"North Indian  Continental Kolkata ManiSquareMall,Kankurgachi Price3 TableBooking_Yes Delivery_No"
25570,Barbeque Nation,Kolkata,Park Street Area,"North Indian, Chinese",4.9,1753,3,1600,No,No,North Indian  Chinese Kolkata ParkStreetArea Price3 TableBooking_No Delivery_No
20350,Mocambo,Kolkata,Park Street Area,"Continental, Italian, North Indian",3.5,4464,3,1050,No,Yes,Continental  Italian  North Indian Kolkata ParkStreetArea Price3 TableBooking_No Delivery_Yes
20870,BarBQ,Kolkata,Park Street Area,"Chinese, North Indian",4.2,5288,2,900,No,Yes,Chinese  North Indian Kolkata ParkStreetArea Price2 TableBooking_No Delivery_Yes
20404,Peter Cat,Kolkata,Park Street Area,"Continental, North Indian",4.3,7574,3,1000,No,Yes,Continental  North Indian Kolkata ParkStreetArea Price3 TableBooking_No Delivery_Yes
24286,The Irish House,Kolkata,"Quest Mall, Ballygunge","European, American",4.4,2224,3,1900,No,No,"European  American Kolkata QuestMall,Ballygunge Price3 TableBooking_No Delivery_No"
20842,Barbeque Nation,Kolkata,"Sector 5, Salt Lake","North Indian, Chinese",4.9,5966,3,1600,No,No,"North Indian  Chinese Kolkata Sector5,SaltLake Price3 TableBooking_No Delivery_No"
18259462,Ocean Grill,Kolkata,"Sector 5, Salt Lake","Continental, Seafood, North Indian, Asian",3.6,1040,3,1500,Yes,No,"Continental  Seafood  North Indian  Asian Kolkata Sector5,SaltLake Price3 TableBooking_Yes Delivery_No"
24452,Sigree Global Grill,Kolkata,"Silver Spring Arcade, Science City Area",North Indian,4.1,1616,3,1600,Yes,No,"North Indian Kolkata SilverSpringArcade,ScienceCityArea Price3 TableBooking_Yes Delivery_No"
18017615,What's Up,Kolkata,Southern Avenue,"Cafe, Chinese, Continental",4.0,1126,3,1000,Yes,No,Cafe  Chinese  Continental Kolkata SouthernAvenue Price3 TableBooking_Yes Delivery_No
800468,Grandson of Tunday Kababi,Lucknow,Aminabad,"Mughlai, Lucknowi",4.9,1057,1,300,No,No,Mughlai  Lucknowi Lucknow Aminabad Price1 TableBooking_No Delivery_No
801675,Frozen Factory,Lucknow,Gomti Nagar,"Desserts, Ice Cream",4.5,144,1,200,No,No,Desserts  Ice Cream Lucknow GomtiNagar Price1 TableBooking_No Delivery_No
801690,Mocha,Lucknow,Gomti Nagar,"Cafe, Italian, Continental",4.6,567,3,800,No,No,Cafe  Italian  Continental Lucknow GomtiNagar Price3 TableBooking_No Delivery_No
801684,Chemistry Caf��,Lucknow,Gomti Nagar,"Cafe, Continental, Chinese",3.5,147,2,650,No,No,Cafe  Continental  Chinese Lucknow GomtiNagar Price2 TableBooking_No Delivery_No
18296995,Homeys Cafe,Lucknow,Gomti Nagar,"Cafe, Fast Food",3.9,217,2,450,No,No,Cafe  Fast Food Lucknow GomtiNagar Price2 TableBooking_No Delivery_No
800237,Percussion,Lucknow,Gomti Nagar,"Continental, North Indian, Asian",3.7,514,3,1000,No,No,Continental  North Indian  Asian Lucknow GomtiNagar Price3 TableBooking_No Delivery_No
800273,The Urban Terrace,Lucknow,Gomti Nagar,"North Indian, Continental",3.9,268,3,1100,No,No,North Indian  Continental Lucknow GomtiNagar Price3 TableBooking_No Delivery_No
18375866,Free Spirit,Lucknow,Gomti Nagar,"Cafe, Italian",4.3,106,2,450,No,No,Cafe  Italian Lucknow GomtiNagar Price2 TableBooking_No Delivery_No
801170,Spice Caves,Lucknow,Gomti Nagar,"North Indian, Chinese, Mughlai",4.2,691,3,1200,No,No,North Indian  Chinese  Mughlai Lucknow GomtiNagar Price3 TableBooking_No Delivery_No
801636,The Chocolate Heaven,Lucknow,Gomti Nagar,"Cafe, Italian, Desserts",4.1,165,2,400,No,No,Cafe  Italian  Desserts Lucknow GomtiNagar Price2 TableBooking_No Delivery_No
18385021,The Pebbles Bistro,Lucknow,Gomti Nagar,European,4.1,80,3,1000,No,No,European Lucknow GomtiNagar Price3 TableBooking_No Delivery_No
801640,Underdoggs Sports Bar & Grill,Lucknow,Gomti Nagar,"Mediterranean, Italian, American",4.3,124,3,1300,No,No,Mediterranean  Italian  American Lucknow GomtiNagar Price3 TableBooking_No Delivery_No
801269,Vintage Machine,Lucknow,Gomti Nagar,"Italian, American, Lebanese",4.3,887,3,1000,No,No,Italian  American  Lebanese Lucknow GomtiNagar Price3 TableBooking_No Delivery_No
801693,Bar Bar,Lucknow,Hazratganj,"Cafe, Chinese, Thai, North Indian, Continental",4.0,79,3,1000,No,No,Cafe  Chinese  Thai  North Indian  Continental Lucknow Hazratganj Price3 TableBooking_No Delivery_No
800483,Dastarkhwan,Lucknow,Hazratganj,Mughlai,4.4,818,2,400,No,No,Mughlai Lucknow Hazratganj Price2 TableBooking_No Delivery_No
800891,The Cherry Tree Cafe,Lucknow,Hazratganj,"Cafe, Bakery",4.1,288,2,400,No,No,Cafe  Bakery Lucknow Hazratganj Price2 TableBooking_No Delivery_No
800326,Royal Sky,Lucknow,Lalbagh,"North Indian, Mughlai, Chinese, Continental",4.2,762,3,1100,No,No,North Indian  Mughlai  Chinese  Continental Lucknow Lalbagh Price3 TableBooking_No Delivery_No
801384,L 14 - Renaissance Lucknow Hotel,Lucknow,Renaissance Lucknow Hotel,"North Indian, Continental, South Indian, Chinese, Thai, Asian",4.2,149,4,2000,No,No,North Indian  Continental  South Indian  Chinese  Thai  Asian Lucknow RenaissanceLucknowHotel Price4 TableBooking_No Delivery_No
800089,Barbeque Nation,Lucknow,"Riverside Mall, Gomti Nagar",North Indian,4.7,1069,4,1600,No,No,"North Indian Lucknow RiversideMall,GomtiNagar Price4 TableBooking_No Delivery_No"
801247,Colours by Royal Cafe - Royal Inn,Lucknow,"Royal Inn, Hazratganj","North Indian, Mughlai, Chinese",4.2,411,3,1000,No,No,"North Indian  Mughlai  Chinese Lucknow RoyalInn,Hazratganj Price3 TableBooking_No Delivery_No"
800576,Cappuccino Blast,Lucknow,Sadar Bazaar,"Cafe, Fast Food",4.0,587,2,700,No,No,Cafe  Fast Food Lucknow SadarBazaar Price2 TableBooking_No Delivery_No
15239,Basant Restaurant,Ludhiana,"A Hotel, Gurdev Nagar","North Indian, Chinese, Fast Food",3.6,93,2,800,No,No,"North Indian  Chinese  Fast Food Ludhiana AHotel,GurdevNagar Price2 TableBooking_No Delivery_No"
18444271,Hawai Adda,Ludhiana,Aggar Nagar,"North Indian, Chinese, Continental",3.5,17,3,1500,No,No,North Indian  Chinese  Continental Ludhiana AggarNagar Price3 TableBooking_No Delivery_No
15005,Indian Summer,Ludhiana,BRS Nagar,"North Indian, Chinese",4.1,191,3,1400,No,No,North Indian  Chinese Ludhiana BRSNagar Price3 TableBooking_No Delivery_No
15221,Basant,Ludhiana,Civil Lines,"North Indian, Chinese, South Indian, Fast Food",3.9,109,1,400,No,No,North Indian  Chinese  South Indian  Fast Food Ludhiana CivilLines Price1 TableBooking_No Delivery_No
15292,Bistro 226,Ludhiana,Civil Lines,"Italian, Continental, North Indian, Cafe",4.2,217,3,1400,No,No,Italian  Continental  North Indian  Cafe Ludhiana CivilLines Price3 TableBooking_No Delivery_No
15309,Mocha,Ludhiana,Gurdev Nagar,Cafe,3.7,153,2,800,No,No,Cafe Ludhiana GurdevNagar Price2 TableBooking_No Delivery_No
18400368,Pirates Of Grill,Ludhiana,Gurdev Nagar,"North Indian, Mughlai",3.9,41,3,1300,No,No,North Indian  Mughlai Ludhiana GurdevNagar Price3 TableBooking_No Delivery_No
15132,Bistro Flamme Bois,Ludhiana,Gurdev Nagar,"Italian, Continental, Mexican, Lebanese",4.1,178,3,1500,No,No,Italian  Continental  Mexican  Lebanese Ludhiana GurdevNagar Price3 TableBooking_No Delivery_No
15705,Kitchen At 95 - Hyatt Regency,Ludhiana,"Hyatt Regency, Rajguru Nagar","Mediterranean, Chinese, Continental",4.3,87,4,2000,No,No,"Mediterranean  Chinese  Continental Ludhiana HyattRegency,RajguruNagar Price4 TableBooking_No Delivery_No"
15078,Domino's Pizza,Ludhiana,"Main Market, Sarabha Nagar","Pizza, Fast Food",3.6,86,2,700,No,No,"Pizza  Fast Food Ludhiana MainMarket,SarabhaNagar Price2 TableBooking_No Delivery_No"
15104,Nando's,Ludhiana,"Main Market, Sarabha Nagar","Portuguese, African",3.8,156,3,1200,No,No,"Portuguese  African Ludhiana MainMarket,SarabhaNagar Price3 TableBooking_No Delivery_No"
15774,Belfrance Luxury Chocolates,Ludhiana,"Main Market, Sarabha Nagar","Cafe, Continental, Italian, Bakery",4.4,138,3,1100,No,No,"Cafe  Continental  Italian  Bakery Ludhiana MainMarket,SarabhaNagar Price3 TableBooking_No Delivery_No"
15008,Hot Breads,Ludhiana,"Main Market, Sarabha Nagar","Continental, Chinese, Italian, Bakery",4.2,261,2,800,No,No,"Continental  Chinese  Italian  Bakery Ludhiana MainMarket,SarabhaNagar Price2 TableBooking_No Delivery_No"
15321,The Yellow Chilli,Ludhiana,"Main Market, Sarabha Nagar","Mughlai, North Indian, Chinese",4.4,325,3,1200,No,No,"Mughlai  North Indian  Chinese Ludhiana MainMarket,SarabhaNagar Price3 TableBooking_No Delivery_No"
15368,Spice Cube,Ludhiana,PAU,"North Indian, Chinese, Continental",3.5,116,3,1000,No,No,North Indian  Chinese  Continental Ludhiana PAU Price3 TableBooking_No Delivery_No
15853,Barbeque Nation,Ludhiana,Rajguru Nagar,"North Indian, Chinese, Continental",3.9,80,3,1400,No,No,North Indian  Chinese  Continental Ludhiana RajguruNagar Price3 TableBooking_No Delivery_No
15497,Nik Bakers,Ludhiana,Sarabha Nagar,"Cafe, Bakery, Desserts",4.2,210,2,800,No,No,Cafe  Bakery  Desserts Ludhiana SarabhaNagar Price2 TableBooking_No Delivery_No
15091,Aman Chicken,Ludhiana,Shastri Nagar,"North Indian, Mughlai",4.6,196,2,800,No,No,North Indian  Mughlai Ludhiana ShastriNagar Price2 TableBooking_No Delivery_No
15777,District 6,Ludhiana,"Silver Arc Mall, Gurdev Nagar","European, Chinese",3.8,53,3,1600,No,No,"European  Chinese Ludhiana SilverArcMall,GurdevNagar Price3 TableBooking_No Delivery_No"
15717,The BrewMaster - The Mix Fine Dine,Ludhiana,"Westend Mall, Rajguru Nagar","North Indian, Continental",3.9,154,3,1500,No,No,"North Indian  Continental Ludhiana WestendMall,RajguruNagar Price3 TableBooking_No Delivery_No"
3100446,#45,Mangalore,Attavar,Cafe,3.6,209,2,600,No,No,Cafe Mangalore Attavar Price2 TableBooking_No Delivery_No
3100159,Crave Desserts & Bakes,Mangalore,Balmatta,"Desserts, Bakery",3.9,196,1,200,No,No,Desserts  Bakery Mangalore Balmatta Price1 TableBooking_No Delivery_No
3100010,Diesel Cafe,Mangalore,Balmatta,"American, Italian",3.8,196,3,900,No,No,American  Italian Mangalore Balmatta Price3 TableBooking_No Delivery_No
3100145,Froth On Top,Mangalore,Balmatta,"Chinese, Mangalorean",3.7,355,2,700,No,No,Chinese  Mangalorean Mangalore Balmatta Price2 TableBooking_No Delivery_No
3100013,Hao Ming,Mangalore,Balmatta,Chinese,3.5,280,2,600,No,No,Chinese Mangalore Balmatta Price2 TableBooking_No Delivery_No
3100143,Kobe Sizzlers,Mangalore,Balmatta,"Continental, American",3.7,104,3,1000,No,No,Continental  American Mangalore Balmatta Price3 TableBooking_No Delivery_No
3100033,Liquid Lounge,Mangalore,Balmatta,"Finger Food, Continental, North Indian",3.8,290,3,800,No,No,Finger Food  Continental  North Indian Mangalore Balmatta Price3 TableBooking_No Delivery_No
3100153,Maharaja Restaurant,Mangalore,Balmatta,"South Indian, North Indian",3.6,275,2,700,No,No,South Indian  North Indian Mangalore Balmatta Price2 TableBooking_No Delivery_No
3100142,Giri Manja's,Mangalore,Bhavathi,Seafood,4.2,281,2,500,No,No,Seafood Mangalore Bhavathi Price2 TableBooking_No Delivery_No
3100030,Kabab Studio,Mangalore,"Goldfinch Hotel, Balmatta","North Indian, Mughlai",3.5,183,4,1500,No,No,"North Indian  Mughlai Mangalore GoldfinchHotel,Balmatta Price4 TableBooking_No Delivery_No"
18237384,Brio Cafe and Grill,Mangalore,Hampankatta,"Cafe, Continental",3.6,84,2,500,No,No,Cafe  Continental Mangalore Hampankatta Price2 TableBooking_No Delivery_No
3100008,Gajalee Sea Food,Mangalore,Kadri,"Seafood, North Indian",3.9,257,3,750,No,No,Seafood  North Indian Mangalore Kadri Price3 TableBooking_No Delivery_No
3100148,Smoke N Oven,Mangalore,Kadri,"Pizza, Italian",3.5,127,2,600,No,No,Pizza  Italian Mangalore Kadri Price2 TableBooking_No Delivery_No
3100044,Village Restaurant,Mangalore,Kadri,"Chinese, Continental, North Indian, Mughlai",3.7,260,3,1000,No,No,Chinese  Continental  North Indian  Mughlai Mangalore Kadri Price3 TableBooking_No Delivery_No
3100441,Barbeque Nation,Mangalore,Kankanady,"North Indian, Chinese",3.7,193,4,1600,No,No,North Indian  Chinese Mangalore Kankanady Price4 TableBooking_No Delivery_No
3100302,Machali,Mangalore,Kodailbail,Seafood,4.1,245,3,800,No,No,Seafood Mangalore Kodailbail Price3 TableBooking_No Delivery_No
3100422,Punjab Da Pind,Mangalore,KS Rao Nagar,"North Indian, Mughlai, Chinese, Mangalorean",3.7,173,3,1000,No,No,North Indian  Mughlai  Chinese  Mangalorean Mangalore KSRaoNagar Price3 TableBooking_No Delivery_No
3100014,Sizzler's Ranch,Mangalore,Lalbagh,Continental,3.8,328,2,700,No,No,Continental Mangalore Lalbagh Price2 TableBooking_No Delivery_No
3100448,Spindrift,Mangalore,Lalbagh,"North Indian, Italian, Finger Food",3.9,156,2,700,No,No,North Indian  Italian  Finger Food Mangalore Lalbagh Price2 TableBooking_No Delivery_No
3100017,Sagar Ratna,Mangalore,"The Ocean Pearl, Kodailbail","South Indian, North Indian, Chinese",3.7,175,2,500,No,No,"South Indian  North Indian  Chinese Mangalore TheOceanPearl,Kodailbail Price2 TableBooking_No Delivery_No"
18424018,The Shooters Cafe,Mohali,Sector 70,"Continental, North Indian",4.3,99,2,550,No,Yes,Continental  North Indian Mohali Sector70 Price2 TableBooking_No Delivery_Yes
35217,Joey's Pizza,Mumbai,Azad Nagar,Pizza,4.0,5145,2,800,No,No,Pizza Mumbai AzadNagar Price2 TableBooking_No Delivery_No
18447068,Cafe Hydro,Mumbai,Borivali East,Asian,4.0,156,3,1000,No,No,Asian Mumbai BorivaliEast Price3 TableBooking_No Delivery_No
18458563,The American Joint,Mumbai,Borivali West,"Healthy Food, American, Burger, Salad",3.4,170,2,850,Yes,No,Healthy Food  American  Burger  Salad Mumbai BorivaliWest Price2 TableBooking_Yes Delivery_No
18075122,The Fusion Kitchen,Mumbai,Borivali West,"North Indian, Italian, Chinese, Mexican",4.7,2083,3,1000,Yes,Yes,North Indian  Italian  Chinese  Mexican Mumbai BorivaliWest Price3 TableBooking_Yes Delivery_Yes
18233317,145 Kala Ghoda,Mumbai,Fort,"Fast Food, Beverages, Desserts",4.2,1606,3,1500,No,No,Fast Food  Beverages  Desserts Mumbai Fort Price3 TableBooking_No Delivery_No
18237753,Tea Villa Cafe,Mumbai,"Hill Road, Bandra West","Cafe, Italian, Desserts, Fast Food, Chinese, Tea",4.1,2040,3,1000,Yes,Yes,"Cafe  Italian  Desserts  Fast Food  Chinese  Tea Mumbai HillRoad,BandraWest Price3 TableBooking_Yes Delivery_Yes"
18388642,Grandmama's Cafe,Mumbai,Juhu,"Continental, Italian",3.8,617,3,1100,No,No,Continental  Italian Mumbai Juhu Price3 TableBooking_No Delivery_No
18463285,Mumbai Vibe,Mumbai,"Linking Road, Bandra West","Cafe, Continental, North Indian, Italian, Chinese, Bakery, Desserts, Finger Food",3.8,146,3,1000,Yes,No,"Cafe  Continental  North Indian  Italian  Chinese  Bakery  Desserts  Finger Food Mumbai LinkingRoad,BandraWest Price3 TableBooking_Yes Delivery_No"
16527711,The Rolling Pin,Mumbai,Lower Parel,"Bakery, Desserts, Cafe",3.9,2076,2,700,No,Yes,Bakery  Desserts  Cafe Mumbai LowerParel Price2 TableBooking_No Delivery_Yes
18313566,Farzi Cafe,Mumbai,Lower Parel,Modern Indian,4.3,1240,3,1500,No,No,Modern Indian Mumbai LowerParel Price3 TableBooking_No Delivery_No
49003,SpiceKlub,Mumbai,Lower Parel,North Indian,4.2,3370,3,1500,No,Yes,North Indian Mumbai LowerParel Price3 TableBooking_No Delivery_Yes
18441580,Tea Villa Cafe,Mumbai,"Majiwada, Thane West","Cafe, Italian, Desserts, Fast Food, Chinese, Tea",3.9,317,3,1000,Yes,No,"Cafe  Italian  Desserts  Fast Food  Chinese  Tea Mumbai Majiwada,ThaneWest Price3 TableBooking_Yes Delivery_No"
34757,Joey's Pizza,Mumbai,Malad West,Pizza,4.5,2662,2,800,No,Yes,Pizza Mumbai MaladWest Price2 TableBooking_No Delivery_Yes
18408295,Stacks And Racks,Mumbai,Malad West,"American, Burger, Fast Food",4.6,413,2,500,No,No,American  Burger  Fast Food Mumbai MaladWest Price2 TableBooking_No Delivery_No
18216876,The English Department Bar & Diner,Mumbai,Malad West,"Italian, Continental, Mexican, Japanese, American, British",3.9,885,3,1500,Yes,No,Italian  Continental  Mexican  Japanese  American  British Mumbai MaladWest Price3 TableBooking_Yes Delivery_No
17806994,Mirchi And Mime,Mumbai,Powai,"North Indian, South Indian, Mughlai",4.9,3244,3,1500,No,No,North Indian  South Indian  Mughlai Mumbai Powai Price3 TableBooking_No Delivery_No
18435740,38 Degree East,Mumbai,Powai,"North Indian, Chinese, Thai",3.8,181,3,1000,Yes,No,North Indian  Chinese  Thai Mumbai Powai Price3 TableBooking_Yes Delivery_No
18318116,R' ADDA,Mumbai,"Ramee Guestline Hotel, Juhu","Street Food, Burger, Desserts, Italian, Pizza, North Indian, European, Finger Food",4.0,536,3,1200,No,No,"Street Food  Burger  Desserts  Italian  Pizza  North Indian  European  Finger Food Mumbai RameeGuestlineHotel,Juhu Price3 TableBooking_No Delivery_No"
18270976,Tea Villa Cafe,Mumbai,"Versova, Andheri West","Cafe, Italian, Desserts, Fast Food, Chinese, Tea",4.1,1295,3,1000,Yes,Yes,"Cafe  Italian  Desserts  Fast Food  Chinese  Tea Mumbai Versova,AndheriWest Price3 TableBooking_Yes Delivery_Yes"
49486,Tea Villa Cafe,Mumbai,Vile Parle East,"Cafe, Italian, Desserts, Fast Food, Chinese, Tea",3.6,1515,3,1000,Yes,Yes,Cafe  Italian  Desserts  Fast Food  Chinese  Tea Mumbai VileParleEast Price3 TableBooking_Yes Delivery_Yes
3600252,Hotel RRR Mysore,Mysore,Chamrajpura,Andhra,3.4,139,1,290,No,No,Andhra Mysore Chamrajpura Price1 TableBooking_No Delivery_No
3600265,Jalpaan Dining Saga,Mysore,Chamrajpura,"North Indian, Chinese, Italian",3.7,172,3,900,No,No,North Indian  Chinese  Italian Mysore Chamrajpura Price3 TableBooking_No Delivery_No
3600375,The Old House,Mysore,Chamrajpura,Italian,3.9,264,3,800,No,No,Italian Mysore Chamrajpura Price3 TableBooking_No Delivery_No
3600015,Vinayaka Mylari,Mysore,Doora,South Indian,4.2,392,1,300,No,No,South Indian Mysore Doora Price1 TableBooking_No Delivery_No
3600012,Empire Restaurant,Mysore,Gokulam,"North Indian, Andhra, Mughlai",3.7,393,2,500,No,No,North Indian  Andhra  Mughlai Mysore Gokulam Price2 TableBooking_No Delivery_No
3600013,Green Leaf,Mysore,Gokulam,"North Indian, Chinese, South Indian",3.5,214,2,400,No,No,North Indian  Chinese  South Indian Mysore Gokulam Price2 TableBooking_No Delivery_No
3600071,Pakva Lounge,Mysore,Gokulam,"Italian, North Indian, South Indian",3.7,262,2,650,No,No,Italian  North Indian  South Indian Mysore Gokulam Price2 TableBooking_No Delivery_No
3600192,Spring - Radisson Blu Plaza,Mysore,Ittige Gudu,"Continental, North Indian, South Indian",3.8,162,4,1700,No,No,Continental  North Indian  South Indian Mysore IttigeGudu Price4 TableBooking_No Delivery_No
3600119,Big Chicken,Mysore,Jayalakhsmipuram,"North Indian, Chinese",3.5,160,2,500,No,No,North Indian  Chinese Mysore Jayalakhsmipuram Price2 TableBooking_No Delivery_No
3600352,Barbeque Nation,Mysore,Jayalakhsmipuram,"North Indian, European, Mediterranean",4.0,286,4,1600,No,No,North Indian  European  Mediterranean Mysore Jayalakhsmipuram Price4 TableBooking_No Delivery_No
3600009,Pizza Hut,Mysore,Jayalakhsmipuram,"Pizza, Italian",4.0,304,2,700,No,No,Pizza  Italian Mysore Jayalakhsmipuram Price2 TableBooking_No Delivery_No
3600361,Tandooriwala,Mysore,Kuvempunagar,North Indian,3.5,127,2,700,No,No,North Indian Mysore Kuvempunagar Price2 TableBooking_No Delivery_No
3600148,Jungle The Restaurant,Mysore,"Pai Hotels, Doora","North Indian, Continental, Chinese",3.7,132,3,1000,No,No,"North Indian  Continental  Chinese Mysore PaiHotels,Doora Price3 TableBooking_No Delivery_No"
3600436,The Barge Restaurant,Mysore,Vijay Nagar,"Continental, Chinese, North Indian",3.3,11,4,1500,No,No,Continental  Chinese  North Indian Mysore VijayNagar Price4 TableBooking_No Delivery_No
3600008,By The Way,Mysore,Vijay Nagar,"North Indian, Chinese, South Indian",3.6,190,2,650,No,No,North Indian  Chinese  South Indian Mysore VijayNagar Price2 TableBooking_No Delivery_No
3600354,Cafe Cornucopia,Mysore,Vijay Nagar,"Cafe, Continental, European, Beverages",3.6,140,2,700,No,No,Cafe  Continental  European  Beverages Mysore VijayNagar Price2 TableBooking_No Delivery_No
3600285,Mezzaluna,Mysore,Vijay Nagar,"Continental, South Indian",3.8,249,2,650,No,No,Continental  South Indian Mysore VijayNagar Price2 TableBooking_No Delivery_No
